Stock,Institution Name,Client Name,Exchange,Deal type,Action,Date,Avg Price,Quantity,Percentage Traded
Kotak Mahindra Bank Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Block,Purchase,02 Jun 2020,1240,"3,294,023",0.17%
Rajratan Global Wire Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,21 Apr 2020,220,"130,000",0.26%
Rajratan Global Wire Ltd.,SBI Group,SBI MUTUAL FUND,BSE,Bulk,Sell,21 Apr 2020,220,"85,000",0.17%
"Star Cement Ltd.
 Insider Trades",SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,17 Apr 2020,72.9,"10,944,505",2.71%
"Star Cement Ltd.
 Insider Trades",SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,17 Apr 2020,72.9,"10,943,385",2.71%
Elgi Equipments Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,15 Apr 2020,134.5,"3,300,000",1.04%
Elgi Equipments Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,15 Apr 2020,134.5,"3,300,000",1.04%
Shree Cements Ltd.,SBI Group,SBI MUTUAL FUND A/C - SBI ETF NIFTY,NSE,Bulk,Purchase,18 Mar 2020,19325.67,"188,489",0.52%
Elgi Equipments Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Purchase,03 Mar 2020,198,"4,664,801",1.47%
Elgi Equipments Ltd.,SBI Group,SBI MUTUAL FUND,NSE,Bulk,Sell,03 Mar 2020,198,"4,664,785",1.47%
"Narayana Hrudayalaya Ltd.
 Estimates Miss",SBI Group,SBI MUTUAL FUND,BSE,Bulk,Purchase,28 Jan 2020,340,"6,541,745",3.20%
"Jindal Stainless Ltd.
 10-year high Insider Trades",SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,09 Jan 2020,38.65,"7,458,965",0.91%
"Jindal Stainless Ltd.
 10-year high Insider Trades",SBI Group,STATE BANK OF INDIA,NSE,Bulk,Sell,09 Jan 2020,38.65,"3,000,000",0.36%
"Jindal Stainless Ltd.
 10-year high Insider Trades",SBI Group,STATE BANK OF INDIA,NSE,Block,Sell,09 Jan 2020,38.65,"7,458,965",0.91%
"Jindal Stainless Ltd.
 10-year high Insider Trades",SBI Group,STATE BANK OF INDIA,NSE,Block,Sell,09 Jan 2020,38.65,"3,000,000",0.36%
Power Mech Projects Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,03 Jun 2021,633,"130,000",0.82%
IRB Infrastructure Developers Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,01 Jun 2021,111.34,"2,462,680",0.04%
IRB Infrastructure Developers Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,31 May 2021,111,"2,481,000",0.04%
The Anup Engineering Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC MIDCAP OPPORTUNITIES FUND,NSE,Bulk,Sell,25 May 2021,682.02,"85,850",0.87%
The Anup Engineering Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,25 May 2021,682,"85,842",0.87%
"SBI Life Insurance Company Ltd.
 10-year high",HDFC Group,HDFC MUTUAL FUND,BSE,Block,Purchase,07 May 2021,960,"1,900,000",0.19%
"SBI Life Insurance Company Ltd.
 10-year high",HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Block,Purchase,07 May 2021,960,"770,000",0.08%
"Tata Metaliks Ltd.
 52 week high",HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,03 May 2021,1254.57,"180,000",0.57%
Music Broadcast Ltd.,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,NSE,Bulk,Sell,29 Apr 2021,23.1,"2,244,453",0.65%
"Strides Pharma Science Ltd.
 52 week high",HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,12 Apr 2021,850,"700,000",0.76%
Timken India Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,09 Apr 2021,1360,"920,000",1.22%
Timken India Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Block,Purchase,09 Apr 2021,1360,"920,000",1.22%
ARVIND FASHIONS LIMITED,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,12 Mar 2021,19.03,"407,755",-%
SITI Networks Ltd.,HDFC Group,HDFC MF A/C HDFC GROWTH FUND,NSE,Bulk,Sell,09 Feb 2021,1.05,"6,000,000",0.69%
GHCL Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,18 Jan 2021,209.25,"800,000",0.84%
GHCL Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,18 Jan 2021,209.25,"800,000",0.84%
M M Forgings Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,14 Jan 2021,448.5,"290,699",1.20%
M M Forgings Ltd.,HDFC Group,HDFC MUTUAL FUND - HDFC BALANCED ADVANTAGE FUND,NSE,Bulk,Sell,14 Jan 2021,448.5,"289,978",1.20%
Greenply Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,04 Jan 2021,122.6,"1,806,000",1.46%
Greenply Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,04 Jan 2021,122.6,"1,806,000",1.46%
"Centum Electronics Ltd.
 Dividend",HDFC Group,HDFC MUTUAL FUND A/C HDFC DIVIDEND YIELD FUND,NSE,Bulk,Purchase,30 Dec 2020,421.19,"400,000",3.10%
"Centum Electronics Ltd.
 Dividend",HDFC Group,HDFC MUTUAL FUND A/C HDFC EQUITY SAVINGS FUND,NSE,Bulk,Sell,30 Dec 2020,420.72,"372,882",2.89%
Inox Leisure Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC DIVIDEND YIELD FUND,BSE,Bulk,Purchase,24 Dec 2020,278.7,"1,500,000",1.23%
Inox Leisure Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC BALANCED ADVANTAGE FUND,BSE,Bulk,Sell,24 Dec 2020,278.7,"1,500,000",1.23%
Tube Investments of India Ltd.,HDFC Group,HDFC MUTUAL FUND - HDFC SMALL CAP FUND,NSE,Bulk,Sell,26 Nov 2020,841,"2,350,000",1.22%
Crompton Greaves Consumer Electricals Ltd.,HDFC Group,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,10 Nov 2020,296.5,"4,500,000",0.70%
Premier Explosives Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,02 Nov 2020,115,"100,000",0.93%
Premier Explosives Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC INFRASTRUCTURE FUND,NSE,Bulk,Sell,02 Nov 2020,115,"100,000",0.93%
BEML Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,21 Oct 2020,619.72,"344,800",0.83%
BEML Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,21 Oct 2020,619.72,"344,800",0.83%
"Kirloskar Pneumatic Company Ltd.
 10-year high High Gain High Volume",HDFC Group,HDFC TRUSTEE CO. LTD. A/C HDFC CHILDRENS GIFT FUND,BSE,Bulk,Purchase,21 Oct 2020,112,"2,460,905",3.80%
"Kirloskar Pneumatic Company Ltd.
 10-year high High Gain High Volume",HDFC Group,HDFC TRUSTEE CO LTD AC HDFC HOUSING OPPORTUNITIES FUND 1140D NOVEMBER 2017 1,BSE,Bulk,Sell,21 Oct 2020,112,"2,460,905",3.80%
Transport Corporation of India Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,Purchase,14 Oct 2020,228,"980,000",1.26%
Transport Corporation of India Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,09 Sep 2020,215,"864,000",1.11%
Ramco Systems Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,26 Aug 2020,240,"157,337",0.44%
"TCI Express Ltd.
 Dividend",HDFC Group,HDFC MUTUAL FUND A/C TAX SAVER FUND,NSE,Bulk,Purchase,25 Aug 2020,795,"217,203",0.57%
"Spicejet Ltd.
 High Gain High Volume",HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,12 Aug 2020,49.15,"4,325,000",0.63%
"Spicejet Ltd.
 High Gain High Volume",HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,12 Aug 2020,49.15,"4,304,640",0.63%
Inox Leisure Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,11 Aug 2020,233,"2,981,000",2.44%
Inox Leisure Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,11 Aug 2020,233,"2,370,000",1.94%
Inox Leisure Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,11 Aug 2020,233,"3,037,236",2.48%
Inox Leisure Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Block,Purchase,11 Aug 2020,233,"2,370,000",1.94%
Aarti Surfactants Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC MID-CAP OPPORTUNITIES FUND,NSE,Bulk,Sell,04 Aug 2020,245.4,"237,000",2.98%
Aarti Surfactants Ltd.,HDFC Group,HDFC MUTUAL FUND A/C - HDFC HYBRID EQUITY FUND,BSE,Bulk,Sell,04 Aug 2020,245.9,"223,735",2.82%
Aarti Surfactants Ltd.,HDFC Group,HDFC MUTUAL FUND A/C - HDFC MIDCAP OPPORTUNITIES FUND,BSE,Bulk,Sell,04 Aug 2020,245.9,"144,056",1.81%
Aarti Surfactants Ltd.,HDFC Group,HDFC TRUSTEE COMPANY LIMITED A/C HDFC MID-CAP OPPORTUNITIES FUND,BSE,Bulk,Sell,04 Aug 2020,245.9,"88,000",1.11%
Tejas Networks Ltd.,HDFC Group,HDFC MF A/C HDFC GROWTH FUND,NSE,Bulk,Sell,09 Jul 2020,51.8,"1,219,691",0.72%
The Anup Engineering Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC RETIREMENT SAVINGS FUND-EQUITY PLAN,NSE,Bulk,Purchase,01 Jul 2020,380.1,"83,513",0.84%
Wheels India Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,29 Jun 2020,427.6,"991,511",4.06%
Wheels India Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Block,Purchase,29 Jun 2020,427.6,"991,511",4.06%
Orient Cement Ltd.,HDFC Group,HDFC TRUSTEE COMPANY LIMITED - HDFC BALANCED ADVANTAGE FUND,NSE,Bulk,Purchase,19 Jun 2020,72.93,"2,700,000",1.32%
Orient Cement Ltd.,HDFC Group,HDFC TRUSTEE CO LTD AC HDFC EQUITY OPPORTUNITIES FUND II 1126D MAY 2017 1,NSE,Bulk,Sell,19 Jun 2020,72.93,"1,796,150",0.88%
Texmaco Rail & Engineering Ltd.,HDFC Group,HDFC TRUSTEE COMPANY LIMITED - HDFC BALANCED ADVANTAGE FUND,NSE,Bulk,Purchase,19 Jun 2020,25.95,"3,100,000",0.81%
Texmaco Rail & Engineering Ltd.,HDFC Group,HDFC TRUSTEE CO LTD A/C HDFC EQUITY OPPORTUNITIES FUND II 1100D JUNE 2017 (1),NSE,Bulk,Sell,19 Jun 2020,25.95,"3,112,600",0.81%
Newgen Software Technologies Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,15 Jun 2020,146.45,"1,473,269",1.05%
Newgen Software Technologies Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,15 Jun 2020,146.45,"1,474,194",1.05%
S H Kelkar & Company Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC CAPITAL BUILDER VALUE FUND,NSE,Bulk,Sell,03 Jun 2020,62.03,"4,000,000",2.89%
Kotak Mahindra Bank Ltd.,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Block,Purchase,02 Jun 2020,1240,"305,041",0.02%
S H Kelkar & Company Ltd.,HDFC Group,HDFC MUTUAL FUND - HDFC CAPITAL BUILDER FUND,NSE,Bulk,Sell,01 Jun 2020,58.41,"1,435,511",1.04%
Suprajit Engineering Ltd.,HDFC Group,HDFC MUTUAL FUND (HDFC SMALL AND MID CAP FUND),NSE,Bulk,Purchase,31 Mar 2020,113.5,"3,000,000",2.17%
Suprajit Engineering Ltd.,HDFC Group,HDFC MUTUAL FUND (HDFC SMALL AND MID CAP FUND),NSE,Bulk,Purchase,27 Mar 2020,122,"3,000,000",2.17%
Primo Chemicals Ltd.,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,Sell,27 Mar 2020,25.5,"141,919",0.06%
GHCL Ltd.,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,Sell,26 Mar 2020,74.08,"1,029,440",1.08%
Thyrocare Technologies Ltd.,HDFC Group,HDFC MUTUAL FUND - HDFC CAPITAL BUILDER VALUE FUND,NSE,Bulk,Sell,24 Mar 2020,500,"1,014,408",1.92%
Sadbhav Engineering Ltd.,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,NSE,Bulk,Sell,26 Feb 2020,80.13,"890,100",0.52%
APL Apollo Tubes Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,17 Feb 2020,2000,"300,000",0.11%
Greenpanel Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,11 Feb 2020,55.01,"1,101,000",0.90%
La Opala RG Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,28 Jan 2020,190,"700,000",0.63%
La Opala RG Ltd.,HDFC Group,HDFC MUTUAL FUND A/C MONTHLY INCOME PLAN LONG TERM PLAN,NSE,Bulk,Purchase,27 Jan 2020,189.92,"4,447,000",4.01%
AGI Greenpac Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,17 Jan 2020,59.31,"500,000",0.77%
The Anup Engineering Ltd.,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,NSE,Bulk,Sell,13 Jan 2020,535.01,"53,485",0.54%
GFL Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,Sell,19 Dec 2019,77.85,"720,000",0.66%
Crompton Greaves Consumer Electricals Ltd.,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Block,Purchase,03 Dec 2019,249.2,"1,000,000",0.16%
Everest Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,28 Nov 2019,274.98,"347,860",2.20%
Ejecta Marketing Ltd.,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,Sell,15 Nov 2019,0.21,"117,097",0.80%
VST Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,13 Nov 2019,4260,"273,706",1.77%
Magellanic Cloud Ltd.,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,Sell,13 Nov 2019,15,"311,987",0.27%
J Kumar Infraprojects Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,07 Nov 2019,150.5,"1,035,000",1.37%
Kirloskar Ferrous Industries Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,25 Oct 2019,60.22,"1,000,000",0.72%
Punjab Communications Ltd.,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,Sell,16 Oct 2019,10.6,"103,032",0.86%
Bajaj Consumer Care Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,15 Oct 2019,195,"6,700,000",4.70%
Bajaj Consumer Care Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,15 Oct 2019,195,"1,050,000",0.74%
S Chand & Company Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Sell,27 Sep 2019,64,"1,157,061",3.29%
Astral Ltd.,HDFC Group,HDFC MUTUAL FUND AC HDFC SMALL AND MID CAP FUND,BSE,Bulk,Purchase,20 Sep 2019,960,"638,708",0.24%
Multi Commodity Exchange of India Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC ARBITRAGE FUND,NSE,Bulk,Purchase,03 Sep 2019,882.72,"359,800",0.71%
Mahanagar Gas Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Purchase,20 Aug 2019,780,"578,000",0.59%
Mahanagar Gas Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Block,Purchase,20 Aug 2019,780,"685,000",0.69%
Tejas Networks Ltd.,HDFC Group,HDFC MUTUAL FUND - HDFC GROWTH FUND,NSE,Bulk,Purchase,26 Jul 2019,84,"3,000,000",1.76%
"Aster DM Healthcare Ltd.
 10-year high",HDFC Group,HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,Purchase,26 Jun 2019,120,"8,300,000",1.66%
Shriram Finance Ltd.,HDFC Group,HDFC MUTUAL FUND A/C - HDFC BALANCED ADVANTAGE FUND,NSE,Bulk,Purchase,17 Jun 2019,1000,"2,900,557",0.77%
Shriram Finance Ltd.,HDFC Group,HDFC TRUSTEE CO. LTD. - HDFC EQUITY FUND,NSE,Bulk,Purchase,17 Jun 2019,1000,"1,919,576",0.51%
Shriram Finance Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC TOP 100 FUND,NSE,Bulk,Purchase,17 Jun 2019,1000,"1,438,835",0.38%
S Chand & Company Ltd.,HDFC Group,HDFC MF A/C HDFC GROWTH FUND,NSE,Bulk,Sell,29 May 2019,118.49,"226,000",0.64%
Matrimony.com Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,11 Mar 2019,510.07,"1,825,038",8.20%
Matrimony.com Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,11 Mar 2019,510.07,"188,639",0.85%
Spencers Retail Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,01 Mar 2019,144.32,"1,451,000",1.61%
Astra Microwave Products Ltd.,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,Sell,25 Feb 2019,78,"981,912",1.03%
Omkar Speciality Chemicals Ltd.,HDFC Group,HDFC BANK LIMITED,BSE,Bulk,Sell,21 Dec 2018,27.24,"118,241",0.57%
NRB Bearings Ltd.,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,Purchase,14 Nov 2018,184.96,"1,435,000",1.48%
NRB Bearings Ltd.,HDFC Group,HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,Purchase,14 Nov 2018,184.98,"1,060,000",1.09%
Syngene International Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,01 Feb 2023,560,"714,286",0.18%
Syngene International Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,01 Feb 2023,560,"446,428",0.11%
Syngene International Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,01 Feb 2023,560,"178,572",0.04%
Syngene International Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,01 Feb 2023,560,"178,571",0.04%
Syngene International Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,01 Feb 2023,560,"147,857",0.04%
Shriram Finance Ltd.,ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,13 Jan 2023,1300,"576,923",0.15%
"Ajanta Pharma Ltd.
 Insider Trades",ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,22 Dec 2022,1160.1,"1,086,110",0.86%
"Ajanta Pharma Ltd.
 Insider Trades",ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,NSE,Block,Purchase,22 Dec 2022,1160.1,"1,086,110",0.86%
FSN E-Commerce Ventures Ltd.,ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,15 Dec 2022,171,"8,770,000",0.31%
"Sapphire Foods India Ltd.
 Insider Trades",ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,15 Dec 2022,1347,"640,000",1.00%
"Sapphire Foods India Ltd.
 Insider Trades",ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,15 Dec 2022,1347,"640,000",1.00%
"Sapphire Foods India Ltd.
 Insider Trades",ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,15 Dec 2022,1347,"250,869",0.39%
"Sapphire Foods India Ltd.
 Insider Trades",ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,15 Dec 2022,1347,"185,599",0.29%
VRL Logistics Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,14 Dec 2022,570,"591,366",0.68%
Rainbow Childrens Medicare Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,05 Dec 2022,735,"1,253,750",1.24%
Rainbow Childrens Medicare Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,05 Dec 2022,735,"516,250",0.51%
FSN E-Commerce Ventures Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,22 Nov 2022,182,"2,190,476",0.08%
FSN E-Commerce Ventures Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,22 Nov 2022,182,"2,080,953",0.07%
FSN E-Commerce Ventures Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,Purchase,22 Nov 2022,182,"328,571",0.01%
FSN E-Commerce Ventures Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,NSE,Block,Purchase,18 Nov 2022,184.55,"6,550,000",0.23%
FSN E-Commerce Ventures Ltd.,ICICI Group,ICICI PRUDENTIAL LIFE INSURANCECOMPANY LTD.,NSE,Block,Purchase,18 Nov 2022,184.55,"800,000",0.03%
Indigo Paints Ltd.,ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,09 Nov 2022,1343,"250,000",0.52%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL VALUE DISCOVERY FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"1,804,295",0.19%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL BLUECHIP FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"1,416,468",0.15%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE (IPLCIL-U),NSE,Block,Purchase,18 Oct 2022,263.7,"936,916",0.10%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL INDIA OPPORTUNITIES FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"902,148",0.09%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL BALANCED ADVANTAGE FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"900,000",0.09%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL BHARAT CONSUMPTION FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"721,718",0.08%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL MULTICAP FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"631,503",0.07%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL MULTI-ASSET FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"363,006",0.04%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL MNC FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"360,858",0.04%
Zee Entertainment Enterprises Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C ICICI PRUDENTIAL BUSINESS CYCLE FUND,NSE,Block,Purchase,18 Oct 2022,263.7,"207,397",0.02%
"Amber Enterprises India Ltd.
 Insider Trades",ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Sell,12 Oct 2022,2284.54,"183,000",0.54%
Safari Industries (India) Ltd.,ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,27 Sep 2022,1529.75,"75,000",0.16%
"PI Industries Ltd.
 Dividend",ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Block,Purchase,23 Sep 2022,3150,"150,000",0.10%
"Nicco Parks & Resorts Ltd.
 Dividend",ICICI Group,ICICI BANK LIMITED,BSE,Bulk,Sell,22 Sep 2022,120,"360,000",0.77%
Krishna Institute of Medical Sciences Ltd.,ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,19 Sep 2022,1250,"1,210,000",1.51%
Sundram Fasteners Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,14 Sep 2022,845,"1,377,726",0.66%
Krishna Institute of Medical Sciences Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C - ICICI PRUDENTIAL LONG TERM EQUITY FUND,BSE,Bulk,Purchase,12 Sep 2022,1250,"1,100,000",1.37%
Krishna Institute of Medical Sciences Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND A/C - ICICI PRUDENTIAL SMALLCAP FUND,BSE,Bulk,Purchase,12 Sep 2022,1250,"900,000",1.12%
Syngene International Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,06 Sep 2022,560,"2,828,510",0.70%
Rolex Rings Ltd.,ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,NSE,Bulk,Purchase,26 Aug 2022,1700,"352,941",1.30%
Rolex Rings Ltd.,ICICI Group,ICICI PRUDENTIAL FLEXICAP FUND,NSE,Bulk,Purchase,26 Aug 2022,1700,"186,246",0.68%
Rolex Rings Ltd.,ICICI Group,ICICI PRUDENTIAL BHARAT CONSUMPTION FUND,NSE,Bulk,Purchase,26 Aug 2022,1700,"165,369",0.61%
Embassy Office Parks REIT,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,Purchase,18 Aug 2022,357,"11,869,867",1.25%
"Kirloskar Pneumatic Company Ltd.
 10-year high High Gain High Volume",ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,10 Aug 2022,463.05,"865,000",1.34%
"Zomato Ltd.
 52 week high",ICICI Group,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Purchase,03 Aug 2022,50.25,"45,000,000",0.51%
Barbeque-Nation Hospitality Ltd.,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND UNITS,NSE,Bulk,Purchase,06 Apr 2022,1175,"1,702,128",4.36%
