Date,Stock,Action,Institution Name,Client Name,Exchange,Deal type,Avg Price,Quantity,Percentage Traded,shortname,30Days,90Days,1Year,30_days_growth,90_days_growth,1_year_growth,context
28-01-2020,Narayana Hrudayalaya Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,BSE,Bulk,340,6541745,0.032,NH.NS,27-02-2020,27-04-2020,27-01-2021,-6.04,-24.25,27.81,"SBI Group purchased 6541745 shares of Narayana Hrudayalaya Ltd. in their SBI MUTUAL FUND fund on BSE for the price of 340.0 . This was a Bulk deal and after this purchase, the stock showed -6.04% growth in 1 month, -24.25% growth in 3 months and 27.81% growth in 1 year."
14-02-2020,Sudarshan Chemical Industries Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,455,2750000,0.0396,SUDARSCHEM.NS,15-03-2020,14-05-2020,13-02-2021,-22.15,-21.18,9.1,"Axis Group purchased 2750000 shares of Sudarshan Chemical Industries Ltd. in their AXIS MUTUAL FUND fund on BSE for the price of 455.0 . This was a Bulk deal and after this purchase, the stock showed -22.15% growth in 1 month, -21.18% growth in 3 months and 9.1% growth in 1 year."
03-03-2020,Elgi Equipments Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,198,4664801,0.0147,ELGIEQUIP.NS,02-04-2020,01-06-2020,03-03-2021,-44.75,-32.98,84.19,"SBI Group purchased 4664801 shares of Elgi Equipments Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 198.0 . This was a Bulk deal and after this purchase, the stock showed -44.75% growth in 1 month, -32.98% growth in 3 months and 84.19% growth in 1 year."
13-03-2020,Varroc Engineering Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,BSE,Bulk,232,1291000,0.0084,VARROC.NS,12-04-2020,11-06-2020,13-03-2021,-42.89,-29.15,70.98,"Reliance Group purchased 1291000 shares of Varroc Engineering Ltd. in their RELIANCE MUTUAL FUND fund on BSE for the price of 232.0 . This was a Bulk deal and after this purchase, the stock showed -42.89% growth in 1 month, -29.15% growth in 3 months and 70.98% growth in 1 year."
18-03-2020,Shree Cements Ltd.,Purchase,SBI Group,SBI MUTUAL FUND A/C - SBI ETF NIFTY,NSE,Bulk,19325.67,188489,0.0052,SHREECEM.NS,17-04-2020,16-06-2020,18-03-2021,-1.89,14.63,39.12,"SBI Group purchased 188489 shares of Shree Cements Ltd. in their SBI MUTUAL FUND A/C - SBI ETF NIFTY fund on NSE for the price of 19325.67 . This was a Bulk deal and after this purchase, the stock showed -1.89% growth in 1 month, 14.63% growth in 3 months and 39.12% growth in 1 year."
27-03-2020,Suprajit Engineering Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND (HDFC SMALL AND MID CAP FUND),NSE,Bulk,122,3000000,0.0217,SUPRAJIT.NS,26-04-2020,25-06-2020,27-03-2021,1.02,22.78,130.55,"HDFC Group purchased 3000000 shares of Suprajit Engineering Ltd. in their HDFC MUTUAL FUND (HDFC SMALL AND MID CAP FUND) fund on NSE for the price of 122.0 . This was a Bulk deal and after this purchase, the stock showed 1.02% growth in 1 month, 22.78% growth in 3 months and 130.55% growth in 1 year."
31-03-2020,Suprajit Engineering Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND (HDFC SMALL AND MID CAP FUND),NSE,Bulk,113.5,3000000,0.0217,SUPRAJIT.NS,30-04-2020,29-06-2020,31-03-2021,6.22,28.77,140.01,"HDFC Group purchased 3000000 shares of Suprajit Engineering Ltd. in their HDFC MUTUAL FUND (HDFC SMALL AND MID CAP FUND) fund on NSE for the price of 113.5 . This was a Bulk deal and after this purchase, the stock showed 6.22% growth in 1 month, 28.77% growth in 3 months and 140.01% growth in 1 year."
15-04-2020,Elgi Equipments Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,134.5,3300000,0.0104,ELGIEQUIP.NS,15-05-2020,14-07-2020,15-04-2021,-3.68,16.28,188.85,"SBI Group purchased 3300000 shares of Elgi Equipments Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 134.5 . This was a Bulk deal and after this purchase, the stock showed -3.68% growth in 1 month, 16.28% growth in 3 months and 188.85% growth in 1 year."
17-04-2020,Star Cement Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,72.9,10944505,0.0271,STARCEMENT.NS,17-05-2020,16-07-2020,17-04-2021,-2.33,16.87,34.77,"SBI Group purchased 10944505 shares of Star Cement Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 72.9 . This was a Bulk deal and after this purchase, the stock showed -2.33% growth in 1 month, 16.87% growth in 3 months and 34.77% growth in 1 year."
21-04-2020,Rajratan Global Wire Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,BSE,Bulk,220,130000,0.0026,RAJRATAN.NS,21-05-2020,20-07-2020,21-04-2021,,34.04,342.54,"SBI Group purchased 130000 shares of Rajratan Global Wire Ltd. in their SBI MUTUAL FUND fund on BSE for the price of 220.0 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, 34.04% growth in 3 months and 342.54% growth in 1 year."
28-05-2020,Reliance Industries Limited-Rights Entitlement,Purchase,Reliance Group,RELIANCE INDUSTRIES HOLDING PRIVATE LIMITED,BSE,Block,199.2,27521654,0,RELIANCE.NS,27-06-2020,26-08-2020,28-05-2021,18.3,41.42,34.22,"Reliance Group purchased 27521654 shares of Reliance Industries Limited-Rights Entitlement in their RELIANCE INDUSTRIES HOLDING PRIVATE LIMITED fund on BSE for the price of 199.2 . This was a Block deal and after this purchase, the stock showed 18.3% growth in 1 month, 41.42% growth in 3 months and 34.22% growth in 1 year."
02-06-2020,Kotak Mahindra Bank Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND AC AXIS EQUITY FUND,BSE,Block,1240,1647037,0.0008,KOTAKBANK.NS,02-07-2020,31-08-2020,02-06-2021,1.03,9.25,33.81,"Axis Group purchased 1647037 shares of Kotak Mahindra Bank Ltd. in their AXIS MUTUAL FUND AC AXIS EQUITY FUND fund on BSE for the price of 1240.0 . This was a Block deal and after this purchase, the stock showed 1.03% growth in 1 month, 9.25% growth in 3 months and 33.81% growth in 1 year."
02-06-2020,Kotak Mahindra Bank Ltd.,Purchase,HDFC Group,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Block,1240,305041,0.0002,KOTAKBANK.NS,02-07-2020,31-08-2020,02-06-2021,1.03,9.25,33.81,"HDFC Group purchased 305041 shares of Kotak Mahindra Bank Ltd. in their HDFC STANDARD LIFE INSURANCE CO LTD fund on BSE for the price of 1240.0 . This was a Block deal and after this purchase, the stock showed 1.03% growth in 1 month, 9.25% growth in 3 months and 33.81% growth in 1 year."
02-06-2020,Kotak Mahindra Bank Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,BSE,Block,1240,3294023,0.0017,KOTAKBANK.NS,02-07-2020,31-08-2020,02-06-2021,1.03,9.25,33.81,"SBI Group purchased 3294023 shares of Kotak Mahindra Bank Ltd. in their SBI MUTUAL FUND fund on BSE for the price of 1240.0 . This was a Block deal and after this purchase, the stock showed 1.03% growth in 1 month, 9.25% growth in 3 months and 33.81% growth in 1 year."
03-06-2020,S H Kelkar & Company Ltd.,Purchase,Kotak Group,KOTAK MAHINDRA (INTERNATIONAL) LIMITED,NSE,Bulk,62,3152863,0.0228,SHK.NS,03-07-2020,01-09-2020,03-06-2021,7.59,25.4,149.37,"Kotak Group purchased 3152863 shares of S H Kelkar & Company Ltd. in their KOTAK MAHINDRA (INTERNATIONAL) LIMITED fund on NSE for the price of 62.0 . This was a Bulk deal and after this purchase, the stock showed 7.59% growth in 1 month, 25.4% growth in 3 months and 149.37% growth in 1 year."
04-06-2020,HDFC Life Insurance Company Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND,BSE,Block,496.4,202000,0.0001,HDFCLIFE.NS,04-07-2020,02-09-2020,04-06-2021,10.54,11.92,31.08,"Axis Group purchased 202000 shares of HDFC Life Insurance Company Ltd. in their AXIS MUTUAL FUND fund on BSE for the price of 496.4 . This was a Block deal and after this purchase, the stock showed 10.54% growth in 1 month, 11.92% growth in 3 months and 31.08% growth in 1 year."
04-06-2020,HDFC Life Insurance Company Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,BSE,Block,496.4,202000,0.0001,HDFCLIFE.NS,04-07-2020,02-09-2020,04-06-2021,10.54,11.92,31.08,"Reliance Group purchased 202000 shares of HDFC Life Insurance Company Ltd. in their RELIANCE MUTUAL FUND fund on BSE for the price of 496.4 . This was a Block deal and after this purchase, the stock showed 10.54% growth in 1 month, 11.92% growth in 3 months and 31.08% growth in 1 year."
12-06-2020,Goodyear India Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,BSE,Bulk,711,674367,0.0292,GOODYEAR.BO,12-07-2020,10-09-2020,12-06-2021,12.39,31.35,39.14,"SBI Group purchased 674367 shares of Goodyear India Ltd. in their SBI MUTUAL FUND fund on BSE for the price of 711.0 . This was a Bulk deal and after this purchase, the stock showed 12.39% growth in 1 month, 31.35% growth in 3 months and 39.14% growth in 1 year."
15-06-2020,Newgen Software Technologies Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,146.45,1473269,0.0105,NEWGEN.NS,15-07-2020,13-09-2020,15-06-2021,9.48,38.75,203.81,"HDFC Group purchased 1473269 shares of Newgen Software Technologies Ltd. in their HDFC MUTUAL FUND fund on NSE for the price of 146.45 . This was a Bulk deal and after this purchase, the stock showed 9.48% growth in 1 month, 38.75% growth in 3 months and 203.81% growth in 1 year."
17-06-2020,Chalet Hotels Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,131.4,4195206,0.0204,CHALET.NS,17-07-2020,15-09-2020,17-06-2021,-0.8,17.77,38.39,"SBI Group purchased 4195206 shares of Chalet Hotels Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 131.4 . This was a Bulk deal and after this purchase, the stock showed -0.8% growth in 1 month, 17.77% growth in 3 months and 38.39% growth in 1 year."
17-06-2020,Great Eastern Shipping Company Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,213,5537097,0.0388,GESHIP.NS,17-07-2020,15-09-2020,17-06-2021,1.69,23.65,92.59,"SBI Group purchased 5537097 shares of Great Eastern Shipping Company Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 213.0 . This was a Bulk deal and after this purchase, the stock showed 1.69% growth in 1 month, 23.65% growth in 3 months and 92.59% growth in 1 year."
17-06-2020,Supreme Industries Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND,BSE,Block,1080,2450000,0.0192,SUPREMEIND.NS,17-07-2020,15-09-2020,17-06-2021,7.72,26.14,108.3,"Axis Group purchased 2450000 shares of Supreme Industries Ltd. in their AXIS MUTUAL FUND fund on BSE for the price of 1080.0 . This was a Block deal and after this purchase, the stock showed 7.72% growth in 1 month, 26.14% growth in 3 months and 108.3% growth in 1 year."
17-06-2020,Supreme Industries Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,BSE,Block,1082.5,148388,0.0012,SUPREMEIND.NS,17-07-2020,15-09-2020,17-06-2021,7.72,26.14,108.3,"SBI Group purchased 148388 shares of Supreme Industries Ltd. in their SBI MUTUAL FUND fund on BSE for the price of 1082.5 . This was a Block deal and after this purchase, the stock showed 7.72% growth in 1 month, 26.14% growth in 3 months and 108.3% growth in 1 year."
17-06-2020,eClerx Services Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,425.9,1681677,0.0343,ECLERX.NS,17-07-2020,15-09-2020,17-06-2021,23.03,80.95,305.11,"SBI Group purchased 1681677 shares of eClerx Services Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 425.9 . This was a Bulk deal and after this purchase, the stock showed 23.03% growth in 1 month, 80.95% growth in 3 months and 305.11% growth in 1 year."
19-06-2020,Equitas Holdings Ltd.,Purchase,Kotak Group,KOTAK SECURITIES LTD,NSE,Bulk,52.08,2777867,0.0081,EQUITASBNK.NS,19-07-2020,17-09-2020,19-06-2021,,,76.68,"Kotak Group purchased 2777867 shares of Equitas Holdings Ltd. in their KOTAK SECURITIES LTD fund on NSE for the price of 52.08 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, nan% growth in 3 months and 76.68% growth in 1 year."
19-06-2020,Orient Cement Ltd.,Purchase,HDFC Group,HDFC TRUSTEE COMPANY LIMITED - HDFC BALANCED ADVANTAGE FUND,NSE,Bulk,72.93,2700000,0.0132,ORIENTCEM.NS,19-07-2020,17-09-2020,19-06-2021,-4.46,-12.95,85.54,"HDFC Group purchased 2700000 shares of Orient Cement Ltd. in their HDFC TRUSTEE COMPANY LIMITED - HDFC BALANCED ADVANTAGE FUND fund on NSE for the price of 72.93 . This was a Bulk deal and after this purchase, the stock showed -4.46% growth in 1 month, -12.95% growth in 3 months and 85.54% growth in 1 year."
19-06-2020,Texmaco Rail & Engineering Ltd.,Purchase,HDFC Group,HDFC TRUSTEE COMPANY LIMITED - HDFC BALANCED ADVANTAGE FUND,NSE,Bulk,25.95,3100000,0.0081,TEXRAIL.NS,19-07-2020,17-09-2020,19-06-2021,10.33,4.78,27.34,"HDFC Group purchased 3100000 shares of Texmaco Rail & Engineering Ltd. in their HDFC TRUSTEE COMPANY LIMITED - HDFC BALANCED ADVANTAGE FUND fund on NSE for the price of 25.95 . This was a Bulk deal and after this purchase, the stock showed 10.33% growth in 1 month, 4.78% growth in 3 months and 27.34% growth in 1 year."
24-06-2020,Sunteck Realty Ltd.,Purchase,Kotak Group,KOTAK MAHINDRA (INTERNATIONAL) LIMITED,NSE,Bulk,180,1680000,0.0115,SUNTECK.NS,24-07-2020,22-09-2020,24-06-2021,-3.41,42.25,56.7,"Kotak Group purchased 1680000 shares of Sunteck Realty Ltd. in their KOTAK MAHINDRA (INTERNATIONAL) LIMITED fund on NSE for the price of 180.0 . This was a Bulk deal and after this purchase, the stock showed -3.41% growth in 1 month, 42.25% growth in 3 months and 56.7% growth in 1 year."
29-06-2020,Wheels India Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND,BSE,Block,427.6,1983022,0.0812,WHEELS.NS,29-07-2020,27-09-2020,29-06-2021,-7.71,-9.76,29.46,"HDFC Group purchased 1983022 shares of Wheels India Ltd. in their HDFC MUTUAL FUND fund on BSE for the price of 427.6 . This was a Block deal and after this purchase, the stock showed -7.71% growth in 1 month, -9.76% growth in 3 months and 29.46% growth in 1 year."
30-06-2020,Lemon Tree Hotels Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,22.8,40000000,0.0505,LEMONTREE.NS,30-07-2020,28-09-2020,30-06-2021,4.17,19.08,86.84,"SBI Group purchased 40000000 shares of Lemon Tree Hotels Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 22.8 . This was a Bulk deal and after this purchase, the stock showed 4.17% growth in 1 month, 19.08% growth in 3 months and 86.84% growth in 1 year."
01-07-2020,The Anup Engineering Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND A/C HDFC RETIREMENT SAVINGS FUND-EQUITY PLAN,NSE,Bulk,380.1,83513,0.0084,ANUP.NS,31-07-2020,29-09-2020,01-07-2021,20.26,70.2,124.85,"HDFC Group purchased 83513 shares of The Anup Engineering Ltd. in their HDFC MUTUAL FUND A/C HDFC RETIREMENT SAVINGS FUND-EQUITY PLAN fund on NSE for the price of 380.1 . This was a Bulk deal and after this purchase, the stock showed 20.26% growth in 1 month, 70.2% growth in 3 months and 124.85% growth in 1 year."
03-07-2020,Metropolis Healthcare Ltd.,Purchase,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Block,1341,243527,0.0047,METROPOLIS.NS,02-08-2020,01-10-2020,03-07-2021,15.87,32.06,112.32,"ICICI Group purchased 243527 shares of Metropolis Healthcare Ltd. in their ICICI PRUDENTIAL MUTUAL FUND fund on BSE for the price of 1341.0 . This was a Block deal and after this purchase, the stock showed 15.87% growth in 1 month, 32.06% growth in 3 months and 112.32% growth in 1 year."
03-07-2020,Metropolis Healthcare Ltd.,Purchase,SBI Group,SBI LIFE INSURANCE COMPANY LTD,BSE,Block,1341,78526,0.0015,METROPOLIS.NS,02-08-2020,01-10-2020,03-07-2021,15.87,32.06,112.32,"SBI Group purchased 78526 shares of Metropolis Healthcare Ltd. in their SBI LIFE INSURANCE COMPANY LTD fund on BSE for the price of 1341.0 . This was a Block deal and after this purchase, the stock showed 15.87% growth in 1 month, 32.06% growth in 3 months and 112.32% growth in 1 year."
21-07-2020,Carborundum Universal Ltd.,Purchase,Kotak Group,KOTAK FUNDS - INDIA MIDCAP FUND,BSE,Bulk,235,1162548,0.0061,CARBORUNIV.NS,20-08-2020,19-10-2020,21-07-2021,8.9,2.64,173.64,"Kotak Group purchased 1162548 shares of Carborundum Universal Ltd. in their KOTAK FUNDS - INDIA MIDCAP FUND fund on BSE for the price of 235.0 . This was a Bulk deal and after this purchase, the stock showed 8.9% growth in 1 month, 2.64% growth in 3 months and 173.64% growth in 1 year."
30-07-2020,Au Small Finance Bank Ltd.,Purchase,Reliance Group,RELIANCE MUTUAL FUND,BSE,Block,746.4,400000,0.0006,AUBANK.NS,29-08-2020,28-10-2020,30-07-2021,3.89,11.36,68.33,"Reliance Group purchased 400000 shares of Au Small Finance Bank Ltd. in their RELIANCE MUTUAL FUND fund on BSE for the price of 746.4 . This was a Block deal and after this purchase, the stock showed 3.89% growth in 1 month, 11.36% growth in 3 months and 68.33% growth in 1 year."
11-08-2020,Inox Leisure Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,233,7721000,0.0632,-,10-09-2020,09-11-2020,11-08-2021,,,,"HDFC Group purchased 7721000 shares of Inox Leisure Ltd. in their HDFC MUTUAL FUND fund on BSE for the price of 233.0 . This was a Bulk deal and after this purchase, the stock showed nan% growth in 1 month, nan% growth in 3 months and nan% growth in 1 year."
12-08-2020,Spicejet Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,49.15,4325000,0.0063,SPICEJET.BO,11-09-2020,10-11-2020,12-08-2021,3.35,1.52,37.66,"HDFC Group purchased 4325000 shares of Spicejet Ltd. in their HDFC MUTUAL FUND fund on NSE for the price of 49.15 . This was a Bulk deal and after this purchase, the stock showed 3.35% growth in 1 month, 1.52% growth in 3 months and 37.66% growth in 1 year."
19-08-2020,Control Print Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,215.75,983959,0.0615,CONTROLPR.NS,18-09-2020,17-11-2020,19-08-2021,9.11,0.6,63.99,"SBI Group purchased 983959 shares of Control Print Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 215.75 . This was a Bulk deal and after this purchase, the stock showed 9.11% growth in 1 month, 0.6% growth in 3 months and 63.99% growth in 1 year."
20-08-2020,V-Guard Industries Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Block,160.25,18993438,0.0438,VGUARD.NS,19-09-2020,18-11-2020,20-08-2021,2.27,2.1,46.59,"SBI Group purchased 18993438 shares of V-Guard Industries Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 160.25 . This was a Block deal and after this purchase, the stock showed 2.27% growth in 1 month, 2.1% growth in 3 months and 46.59% growth in 1 year."
21-08-2020,Sudarshan Chemical Industries Ltd.,Purchase,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,430.05,1900000,0.0274,SUDARSCHEM.NS,20-09-2020,19-11-2020,21-08-2021,16.71,1.02,33.5,"ICICI Group purchased 1900000 shares of Sudarshan Chemical Industries Ltd. in their ICICI PRUDENTIAL MUTUAL FUND fund on BSE for the price of 430.05 . This was a Bulk deal and after this purchase, the stock showed 16.71% growth in 1 month, 1.02% growth in 3 months and 33.5% growth in 1 year."
25-08-2020,Matrimony.com Ltd.,Purchase,ICICI Group,ICICI PRUDENTIAL MUTUAL FUND,BSE,Bulk,520,523846,0.0236,MATRIMONY.NS,24-09-2020,23-11-2020,25-08-2021,6.15,16.09,93.35,"ICICI Group purchased 523846 shares of Matrimony.com Ltd. in their ICICI PRUDENTIAL MUTUAL FUND fund on BSE for the price of 520.0 . This was a Bulk deal and after this purchase, the stock showed 6.15% growth in 1 month, 16.09% growth in 3 months and 93.35% growth in 1 year."
25-08-2020,TCI Express Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND A/C TAX SAVER FUND,NSE,Bulk,795,217203,0.0057,TCIEXP.NS,24-09-2020,23-11-2020,25-08-2021,-5.36,-2.31,75.6,"HDFC Group purchased 217203 shares of TCI Express Ltd. in their HDFC MUTUAL FUND A/C TAX SAVER FUND fund on NSE for the price of 795.0 . This was a Bulk deal and after this purchase, the stock showed -5.36% growth in 1 month, -2.31% growth in 3 months and 75.6% growth in 1 year."
25-08-2020,Techno Electric & Engineering Company Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,202,5379678,0.05,TECHNOE.NS,24-09-2020,23-11-2020,25-08-2021,-5,5.54,34.95,"SBI Group purchased 5379678 shares of Techno Electric & Engineering Company Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 202.0 . This was a Bulk deal and after this purchase, the stock showed -5.0% growth in 1 month, 5.54% growth in 3 months and 34.95% growth in 1 year."
26-08-2020,Ramco Systems Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,240,157337,0.0044,RAMCOSYS.NS,25-09-2020,24-11-2020,26-08-2021,42.93,81.26,94.07,"HDFC Group purchased 157337 shares of Ramco Systems Ltd. in their HDFC MUTUAL FUND fund on NSE for the price of 240.0 . This was a Bulk deal and after this purchase, the stock showed 42.93% growth in 1 month, 81.26% growth in 3 months and 94.07% growth in 1 year."
09-09-2020,Transport Corporation of India Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND,NSE,Bulk,215,864000,0.0111,TCI.NS,09-10-2020,08-12-2020,09-09-2021,3.88,23.16,100,"HDFC Group purchased 864000 shares of Transport Corporation of India Ltd. in their HDFC MUTUAL FUND fund on NSE for the price of 215.0 . This was a Bulk deal and after this purchase, the stock showed 3.88% growth in 1 month, 23.16% growth in 3 months and 100.0% growth in 1 year."
11-09-2020,Max Healthcare Institute Ltd.,Purchase,Kotak Group,KOTAK FUNDS - INDIA MIDCAP FUND,BSE,Block,110.7,3635320,0.0037,MAXHEALTH.NS,11-10-2020,10-12-2020,11-09-2021,-15.85,5.89,190,"Kotak Group purchased 3635320 shares of Max Healthcare Institute Ltd. in their KOTAK FUNDS - INDIA MIDCAP FUND fund on BSE for the price of 110.7 . This was a Block deal and after this purchase, the stock showed -15.85% growth in 1 month, 5.89% growth in 3 months and 190.0% growth in 1 year."
18-09-2020,EPL Ltd.,Purchase,Axis Group,AXIS MUTUAL FUND,BSE,Bulk,256.3,10013679,0.0315,EPL.NS,18-10-2020,17-12-2020,18-09-2021,0.75,2.9,-5.42,"Axis Group purchased 10013679 shares of EPL Ltd. in their AXIS MUTUAL FUND fund on BSE for the price of 256.3 . This was a Bulk deal and after this purchase, the stock showed 0.75% growth in 1 month, 2.9% growth in 3 months and -5.42% growth in 1 year."
18-09-2020,EPL Ltd.,Purchase,Franklin India Group,"FTIF - TEMPLETON ASIAN SMALLER COMPANIES FUND, FRANKLIN TEMPLETON MUTUAL FUND",BSE,Bulk,256.3,5075745,0.0159,EPL.NS,18-10-2020,17-12-2020,18-09-2021,0.75,2.9,-5.42,"Franklin India Group purchased 5075745 shares of EPL Ltd. in their FTIF - TEMPLETON ASIAN SMALLER COMPANIES FUND, FRANKLIN TEMPLETON MUTUAL FUND fund on BSE for the price of 256.3 . This was a Bulk deal and after this purchase, the stock showed 0.75% growth in 1 month, 2.9% growth in 3 months and -5.42% growth in 1 year."
14-10-2020,Transport Corporation of India Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND,NSE,Bulk,228,980000,0.0126,TCI.NS,13-11-2020,12-01-2021,14-10-2021,-0.34,6.36,98.82,"HDFC Group purchased 980000 shares of Transport Corporation of India Ltd. in their HDFC MUTUAL FUND A/C HDFC SMALL CAP FUND fund on NSE for the price of 228.0 . This was a Bulk deal and after this purchase, the stock showed -0.34% growth in 1 month, 6.36% growth in 3 months and 98.82% growth in 1 year."
21-10-2020,BEML Ltd.,Purchase,HDFC Group,HDFC MUTUAL FUND,BSE,Bulk,619.72,344800,0.0083,BEML.NS,20-11-2020,19-01-2021,21-10-2021,6.23,51.03,150.24,"HDFC Group purchased 344800 shares of BEML Ltd. in their HDFC MUTUAL FUND fund on BSE for the price of 619.72 . This was a Bulk deal and after this purchase, the stock showed 6.23% growth in 1 month, 51.03% growth in 3 months and 150.24% growth in 1 year."
21-10-2020,Kirloskar Pneumatic Company Ltd.,Purchase,HDFC Group,HDFC TRUSTEE CO. LTD. A/C HDFC CHILDRENS GIFT FUND,BSE,Bulk,112,2460905,0.038,KIRLPNU.BO,20-11-2020,19-01-2021,21-10-2021,19.03,51.43,214.08,"HDFC Group purchased 2460905 shares of Kirloskar Pneumatic Company Ltd. in their HDFC TRUSTEE CO. LTD. A/C HDFC CHILDRENS GIFT FUND fund on BSE for the price of 112.0 . This was a Bulk deal and after this purchase, the stock showed 19.03% growth in 1 month, 51.43% growth in 3 months and 214.08% growth in 1 year."
04-11-2020,Matrimony.com Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,628,500000,0.0225,MATRIMONY.NS,04-12-2020,02-02-2021,04-11-2021,20.99,25.83,51.01,"SBI Group purchased 500000 shares of Matrimony.com Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 628.0 . This was a Bulk deal and after this purchase, the stock showed 20.99% growth in 1 month, 25.83% growth in 3 months and 51.01% growth in 1 year."
10-11-2020,Crompton Greaves Consumer Electricals Ltd.,Purchase,HDFC Group,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,296.5,4500000,0.007,CROMPTON.NS,10-12-2020,08-02-2021,10-11-2021,13.66,37.95,55.37,"HDFC Group purchased 4500000 shares of Crompton Greaves Consumer Electricals Ltd. in their HDFC STANDARD LIFE INSURANCE COMPANY LIMITED fund on NSE for the price of 296.5 . This was a Bulk deal and after this purchase, the stock showed 13.66% growth in 1 month, 37.95% growth in 3 months and 55.37% growth in 1 year."
10-11-2020,Crompton Greaves Consumer Electricals Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,296.49,10135135,0.0158,CROMPTON.NS,10-12-2020,08-02-2021,10-11-2021,13.66,37.95,55.37,"SBI Group purchased 10135135 shares of Crompton Greaves Consumer Electricals Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 296.49 . This was a Bulk deal and after this purchase, the stock showed 13.66% growth in 1 month, 37.95% growth in 3 months and 55.37% growth in 1 year."
17-11-2020,Ashiana Housing Ltd.,Purchase,SBI Group,SBI MUTUAL FUND,NSE,Bulk,82.9,2329821,0.0232,ASHIANA.NS,17-12-2020,15-02-2021,17-11-2021,26.48,20.69,133.05,"SBI Group purchased 2329821 shares of Ashiana Housing Ltd. in their SBI MUTUAL FUND fund on NSE for the price of 82.9 . This was a Bulk deal and after this purchase, the stock showed 26.48% growth in 1 month, 20.69% growth in 3 months and 133.05% growth in 1 year."
23-11-2020,Aavas Financiers Ltd.,Purchase,SBI Group,SBI LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,1515,660000,0.0083,AAVAS.NS,23-12-2020,21-02-2021,23-11-2021,8.16,49,81.82,"SBI Group purchased 660000 shares of Aavas Financiers Ltd. in their SBI LIFE INSURANCE COMPANY LIMITED fund on BSE for the price of 1515.0 . This was a Bulk deal and after this purchase, the stock showed 8.16% growth in 1 month, 49.0% growth in 3 months and 81.82% growth in 1 year."
